State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
130,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s59","error","error","error","error","error","error","error","error","error","error","error"
129,"error","error","error","error","s156","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
128,"error","error","error","error","r41","r41","r41","error","error","r41","error","r41","r41","error","error","error","r41","r41","r41","r41","r41","error","r41","error","r41","r41","r41","r41","error","error","error","error","error","error"
127,"error","error","error","error","error","error","s155","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
58,"error","error","error","error","error","error","error","error","error","error","error","error","error","r18","error","error","r18","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
57,"error","r53","r53","r53","error","error","error","error","error","r53","r53","error","error","r53","r53","r53","r53","error","error","error","error","error","error","error","error","error","r53","error","r53","r53","r53","r53","r53","r53"
56,"error","error","error","r49","error","error","error","error","error","error","error","error","error","r49","error","error","r49","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
55,"error","r57","r57","r57","error","error","error","error","error","r57","r57","error","error","r57","r57","r57","r57","error","error","error","error","error","error","error","error","error","r57","error","r57","r57","r57","r57","r57","r57"
54,"error","s96","error","r94","error","error","error","error","error","error","error","error","error","r94","error","error","r94","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
53,"error","r91","error","r91","error","error","error","error","error","error","error","error","error","r91","error","s94","r91","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
52,"error","error","error","error","r69","error","error","error","error","r69","error","error","error","error","error","error","error","error","error","error","r69","error","r69","error","r69","error","r69","r69","error","error","error","error","error","error"
51,"error","error","error","error","error","error","error","error","error","error","error","error","error","r17","error","error","r17","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
50,"error","r54","r54","r54","error","error","error","error","error","r54","r54","error","error","r54","r54","r54","r54","error","error","error","error","error","error","error","error","error","r54","error","r54","r54","r54","r54","r54","r54"
49,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
48,"error","r78","r78","r78","error","error","error","error","error","s89","error","error","error","r78","r78","r78","r78","error","error","error","error","error","error","error","error","error","s90","error","r78","error","r78","r78","error","r78"
47,"error","r84","r84","r84","error","error","error","error","error","error","error","error","error","r84","s87","r84","r84","error","error","error","error","error","error","error","error","error","error","error","r84","error","s84","s86","error","s85"
46,"error","error","error","r50","error","error","error","error","error","error","error","error","error","r50","error","error","r50","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
45,"error","error","error","error","r67","error","error","error","error","r67","error","error","error","error","error","error","error","error","error","error","r67","error","r67","error","r67","error","r67","r67","error","error","error","error","error","error"
44,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
43,"error","r88","s82","r88","error","error","error","error","error","error","error","error","error","r88","error","r88","r88","error","error","error","error","error","error","error","error","error","error","error","s80","error","error","error","error","error"
42,"error","error","error","error","r68","error","error","error","error","r68","error","error","error","error","error","error","error","error","error","error","r68","error","r68","error","r68","error","r68","r68","error","error","error","error","error","error"
41,"error","r51","r51","r51","s78","error","error","r51","error","r51","r51","error","error","r51","r51","r51","r51","error","error","error","error","error","error","error","error","error","r51","error","r51","r51","r51","r51","r51","r51"
40,"error","r74","r74","r74","error","error","error","error","error","r74","s75","error","error","r74","r74","r74","r74","error","error","error","error","error","error","error","error","error","r74","error","r74","s76","r74","r74","s74","r74"
39,"error","r55","r55","r55","error","error","error","error","error","r55","r55","error","error","r55","r55","r55","r55","error","error","error","error","error","error","error","error","error","r55","error","r55","r55","r55","r55","r55","r55"
38,"error","r56","r56","r56","error","error","error","error","error","r56","r56","error","error","r56","r56","r56","r56","error","error","error","error","error","error","error","error","error","r56","error","r56","r56","r56","r56","r56","r56"
37,"error","error","error","s73","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
36,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s72","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
35,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s23","error","error","error","error","error","error","error","error","error","error","error"
34,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
33,"error","error","error","s67","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
32,"error","error","error","s66","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
31,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s65","error","error","error","error","error","error","error","error","error","error","error"
30,"error","error","error","r27","error","error","error","error","error","error","error","error","error","s63","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
29,"error","error","error","r25","error","error","error","error","error","error","error","error","s14","error","error","error","error","error","error","error","error","error","error","error","error","s4","error","error","error","error","error","error","error","error"
12,"error","error","error","error","s21","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
11,"r3","error","error","error","error","error","error","error","error","error","error","s7","s2","error","error","error","error","error","error","error","error","error","error","s1","error","s4","error","error","error","error","error","error","error","error"
10,"r3","error","error","error","error","error","error","error","error","error","error","s7","s2","error","error","error","error","error","error","error","error","error","error","s1","error","s4","error","error","error","error","error","error","error","error"
9,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s18","error","error","error","error","error","error","error","error","error","error","error"
8,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s16","error","error","error","error","error","error","error","error","error","error","error"
7,"error","error","error","error","error","error","error","error","error","error","error","error","s14","error","error","error","error","error","error","error","error","error","error","error","error","s4","error","error","error","error","error","error","error","error"
